andhra pradesh match preferred
australia
based in coimbatore
based in rajasthan
calicut preferred
can relocate post-marriage
can relocate to uk if needed
can shift as per partner's location
cannot relocate due to family
coimbatore
coimbatore native preferred
deeply rooted in native city
delhi ncr match preferred
digital nomad
emotionally attached to home city
europe
european fellowships
flexible hours
flexible to move anywhere in india or abroad
france based
german resident
global research fellowships
goa
goa resident
gujarat
hill_station
himalayan territoriesfellowship programs
hybrid
hybrid work preferred
ideally based in mangaluru
ideally living in tiruchirappalli or erode
in-office
in-office preferred
independent worker
india_only
indian groom only
indian lifestyle preferred
indian match preferred
interested in sikkim or assam
jaipur based alliance
kannur based family
kerala
lives in melbourne
lives in mysore
lives in spain
living in pune
location flexible
location independent
location-agnostic role
location-bound job
location-flexible job
location-neutral
looking for nri based in europe
looking for partner from south india
loves mountain life
marriage not tied to geography
match from anywhere is fine
match from udaipur preferred
match settled abroad preferred
mobile across cities
mysore
new_zealand
no location constraints
no_preference
north east india preferred
north_east_india
north_india
not keen on shifting base
not willing to move abroad
not willing to relocate
nri
nri match with indian values
nri with stable job preferred
nri with western exposure
open to any location
open to canada matches
open to eu match
open to explore cities after marriage
open to germany
open to himachal-based match
open to international relocation
open to moving
open to moving for partner
open to netherlands
open to new city
open to north indian families
open to nri
open to relocating
open to relocating to germany
open to relocating to netherlands
open to settle where partner is
open to uk
open to us
open to wellington
open_to_relocate
open_to_uk
overseas citizen preferred
partner's location is fine
permanently settled in current location
policy fellowships
pr in australia
prefer big cities
prefer city life
prefer coastal areas
prefer cold climate
prefer countryside
prefer mountain areas
prefer rural areas
prefer small towns
prefer staying close to relatives
prefer temperate climate
prefer to move abroad
prefer to stay in home country
prefer to stay local
prefer tropical climate
prefer urban areas
prefer warm climate
preferably based in madurai or dindigul
preferably from panjim or margao
prefers globally settled match
prefers gujarati family
prefers hybrid work
prefers laid-back life in goa
prefers pune city
prefers working from hometown
prefers_same_city
pune
rajasthan
ready to move to australia
relocating to germany
relocating to netherlands
relocation is acceptable
remote
remote work preferred
remote-first
remote_work
residency in india must
resides in new zealand
seeking match from trivandrum
seeks india-based alliances
settled in ahmedabad
settled in mysore
settlement location open
south_india
sydney-based profile preferred
tamil nadu based match
telecommuter
telugu speaking family preferred
uk citizen preferred
uk student visa holder
want indian citizen only
wants match from auckland
wants match from mysore
wants pune-based match
wants to live in kerala post-marriage
wants to live in ooty
wants to live near parents
wants to settle in a quiet hill station
wants to settle in meghalaya
wants to stay in coimbatore
willing to go where life takes us
willing to move to another country
willing to relocate
willing to relocate for the right person
work from anywhere
works from hills
works remotely from native village
